,Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Profit Made,Profit Margin,Latest Url
1736,kroger,Starbucks Sumatra Dark Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20sumatra.jpeg,$12.47,$15.29,$2.82,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Sumatra.jpeg
1737,kroger,Starbucks Premium Instant Medium Roast Instant Coffee,Instant ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20french%20roast%20(whole%20bean).jpeg,$7.32,$8.99,$1.67,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20French%20Roast%20(Whole%20Bean).jpeg
1738,kroger,Starbucks Via Italian Dark Roast Instant Coffee Pod,Instant  Pod,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20via%c2%ae%20italian%20roast.jpeg,$8.55,$10.49,$1.94,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20VIA%C2%AE%20Italian%20Roast.jpeg
1739,kroger,Starbucks Breakfast Blend Medium Roast Pod,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20breakfast%20blend%20(12%20oz).jpeg,$7.33,$8.99,$1.66,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Breakfast%20Blend%20(12%20oz).jpeg
1740,kroger,Starbucks 2X Caffeine House Blend Medium Roast Pod,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20french%20roast%20(whole%20bean).jpeg,$8.96,$10.99,$2.03,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20French%20Roast%20(Whole%20Bean).jpeg
1741,kroger,Starbucks Fall Blend Seasonal Pod,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20house%20blend%20(12%20oz).jpeg,$8.96,$10.99,$2.03,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20House%20Blend%20(12%20oz).jpeg
1742,kroger,Starbucks Caffè Verona Dark Roast Bean,Whole Bean,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20veranda%20blonde%20roast%20(12%20oz).jpeg,$7.33,$8.99,$1.66,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Veranda%20Blonde%20Roast%20(12%20oz).jpeg
1743,kroger,Starbucks House Blend Medium Roast Bean,Whole Bean,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20house%20blend%20(12%20oz).jpeg,$7.33,$8.99,$1.66,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20House%20Blend%20(12%20oz).jpeg
1744,kroger,Hill Bros Regular Roast Medium Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20regular%20roast%20%e2%80%93%20ground%2012%20oz.jpeg,$6.92,$8.49,$1.57,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Regular%20Roast%20%E2%80%93%20Ground%2012%20oz.jpeg
1745,kroger,Hill Bros French Roast Dark Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20french%20roast%20%e2%80%93%20ground%2012%20oz.jpeg,$6.92,$8.49,$1.57,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20French%20Roast%20%E2%80%93%20Ground%2012%20oz.jpeg
1746,kroger,Hill Bros Breakfast Blend Light Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20breakfast%20blend%20%e2%80%93%20ground%2012%20oz.jpeg,$6.92,$8.49,$1.57,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Breakfast%20Blend%20%E2%80%93%20Ground%2012%20oz.jpeg
1747,kroger,Hill Bros Regular Roast Medium Roast Bean,Whole Bean,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20regular%20roast%20%e2%80%93%20ground%2012%20oz.jpeg,$6.92,$8.49,$1.57,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Regular%20Roast%20%E2%80%93%20Ground%2012%20oz.jpeg
1748,kroger,Hill Bros French Roast Dark Roast Bean,Whole Bean,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20french%20roast%20%e2%80%93%20ground%2012%20oz.jpeg,$6.92,$8.49,$1.57,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20French%20Roast%20%E2%80%93%20Ground%2012%20oz.jpeg
1749,kroger,Hill Bros Via Instant Instant Coffee,Instant ,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20cafe%cc%81%20latte%20%e2%80%93%20instant%20mix%2010.5%20oz.jpeg,$6.52,$7.99,$1.47,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Cafe%CC%81%20Latte%20%E2%80%93%20Instant%20Mix%2010.5%20oz.jpeg
1750,kroger,Hill Bros Mocha Cappuccino Instant Beverage Mix,Instant ,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20cafe%cc%81%20latte%20%e2%80%93%20instant%20mix%2010.5%20oz.jpeg,$4.07,$4.99,$0.92,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Cafe%CC%81%20Latte%20%E2%80%93%20Instant%20Mix%2010.5%20oz.jpeg
1751,kroger,Hill Bros Café Latte Instant Beverage Mix,Instant ,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20cafe%cc%81%20latte%20%e2%80%93%20instant%20mix%2010.5%20oz.jpeg,$4.07,$4.99,$0.92,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Cafe%CC%81%20Latte%20%E2%80%93%20Instant%20Mix%2010.5%20oz.jpeg
1752,kroger,Hill Bros Decaf Roast Decaf Ground,Decaf ,2025,https://storage.googleapis.com/coffee-aysa2025/hill%20bros%20decaf%20roast%20%e2%80%93%20ground%2012%20oz.jpeg,$7.34,$8.99,$1.65,23.00%,https://storage.googleapis.com/coffee-aysa2025/Hill%20Bros%20Decaf%20Roast%20%E2%80%93%20Ground%2012%20oz.jpeg
1753,kroger,Private Selection Costa Rican Tarrazu Medium Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/private%20selection%20costa%20rican%20tarrazu%20%e2%80%93%20ground%2012%20oz.jpeg,$5.70,$6.99,$1.29,23.00%,https://storage.googleapis.com/coffee-aysa2025/Private%20Selection%20Costa%20Rican%20Tarrazu%20%E2%80%93%20Ground%2012%20oz.jpeg
1754,kroger,Private Selection Guatemalan Antigua Dark Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/private%20selection%20guatemalan%20antigua%20%e2%80%93%20ground%2012%20oz.jpeg,$5.70,$6.99,$1.29,23.00%,https://storage.googleapis.com/coffee-aysa2025/Private%20Selection%20Guatemalan%20Antigua%20%E2%80%93%20Ground%2012%20oz.jpeg
1755,kroger,Private Selection Sumatra Mandheling Dark Roast Bean,Whole Bean,2025,https://storage.googleapis.com/coffee-aysa2025/private%20selection%20sumatra%20mandheling%20%e2%80%93%20whole%20bean%2012%20oz.jpeg,$6.10,$7.49,$1.39,23.00%,https://storage.googleapis.com/coffee-aysa2025/Private%20Selection%20Sumatra%20Mandheling%20%E2%80%93%20Whole%20Bean%2012%20oz.jpeg
